ten_ram,loai_ram,dung_luong,thong_so,gia_vnd,link_hinh_anh,category
"RAM PC Colorful Battle AX 16GB DDR5 Black | (1x16GB), 6000MHz, Intel/AMD",DDR5,16GB,16GB 6000MHz,6299000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Dominator Platinum 32GB RGB DDR5 | (2x16GB), 5200MHz, Intel/AMD CMT32GX5M2B5200C40",DDR5,32GB,32GB 5200MHz,9999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Dominator Platinum 64GB RGB DDR5 White | (2x32GB), 5600MHz, Intel/AMD CMT64GX5M2B5600C40W",DDR5,64GB,64GB 5600MHz,22999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 16GB DDR5 Black | (1x16GB), 5200MHz, Intel/AMD CMK16GX5M1B5200C40",DDR5,16GB,16GB 5200MHz,5599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 16GB DDR5 Black | (1x16GB), 5600MHz, Intel/AMD CMK16GX5M1B5600C40",DDR5,16GB,16GB 5600MHz,5799000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 16GB RGB DDR4 | (2x8GB), 3200MHz, Intel/AMD CMG16GX4M2E3200C16",DDR4,16GB,16GB 3200MHz,3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 16GB RGB DDR5 Black | (1x16GB), 6000MHz, Intel/AMD CMH16GX5M1E6000Z36",DDR5,16GB,16GB 6000MHz,5999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB DDR5 | (1x32GB), 6000MHz, Intel/AMD CMK5X32G2B60C38A2",DDR5,32GB,32GB 6000MHz,9599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB RGB DDR4 Black | (2x16GB), 3200MHz, Intel/AMD CMW32GX4M2E3200C16",DDR4,32GB,32GB 3200MHz,9199000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB RGB DDR4 | (2x16GB), 3200MHz, Intel/AMD CMG32GX4M2E3200C16",DDR4,32GB,32GB 3200MHz,7999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB RGB DDR4 | (2x16GB), 3600MHz, Intel/AMD CMG32GX4M2D3600C18",DDR4,32GB,32GB 3600MHz,6811000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD CMH32GX5M2B5200C40",DDR5,32GB,32GB 5200MHz,9999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD CMH32GX5M2E6000C36",DDR5,32GB,32GB 6000MHz,12111000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD CMH32GX5M2E6000C36W",DDR5,32GB,32GB 6000MHz,12511000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 64GB RGB DDR4 | (2x32GB), 3600MHz, Intel/AMD CMG64GX4M2D3600C18",DDR4,64GB,64GB 3600MHz,12111000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 64GB RGB DDR5 | (2x32GB), 6000MHz, Intel/AMD CMH64GX5M2D6000C40",DDR5,64GB,64GB 6000MHz,22999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 8GB RGB DDR4 | (1x8GB), 3200MHz, Intel/AMD CMG8GX4M1E3200C16",DDR4,8GB,8GB 3200MHz,2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
"RAM PC Corsair Vengeance 96GB RGB DDR5 | (2x48GB), 6000MHz, Intel/AMD CMH96GX5M2E6000C36",DDR5,96GB,96GB 6000MHz,31999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM
