ten,category,hang,gia,thong_so,link_hinh_anh,ten_ram,loai_ram,dung_luong,gia_vnd,ten_cpu,ten_mainboard,ten_vga,ten_ssd,ten_hdd,ten_case,ten_psu
"RAM Laptop Lexar Ares 16GB DDR5 | (1x16GB), 5600MHz LD5S16G56C46ST-BGS",RAM,,5390000,16GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Lexar Ares 16GB DDR5 | (1x16GB), 5600MHz LD5S16G56C46ST-BGS",DDR5,16GB,5390000,,,,,,,
"RAM Laptop Lexar Ares 8GB DDR4 | (1x8GB), 3200MHz LD4AS008G-B3200GSST",RAM,,2150000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Lexar Ares 8GB DDR4 | (1x8GB), 3200MHz LD4AS008G-B3200GSST",DDR4,8GB,2150000,,,,,,,
"RAM Laptop Patriot Signature 4GB DDR4 | (1x4GB), 2666MHz",RAM,,270000,4GB 2666MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Patriot Signature 4GB DDR4 | (1x4GB), 2666MHz",DDR4,4GB,270000,,,,,,,
"RAM Laptop Silicon Power 16GB DDR4 | (1x16GB), 3200MHz SP016GBSFU320X02",RAM,,2990000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Silicon Power 16GB DDR4 | (1x16GB), 3200MHz SP016GBSFU320X02",DDR4,16GB,2990000,,,,,,,
"RAM Laptop SSTC 16GB DDR4 | (1x16GB), 3200MHz",RAM,,2990000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop SSTC 16GB DDR4 | (1x16GB), 3200MHz",DDR4,16GB,2990000,,,,,,,
"RAM Laptop SSTC 8GB DDR4 | (1x8GB), 3200MHz",RAM,,1850000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop SSTC 8GB DDR4 | (1x8GB), 3200MHz",DDR4,8GB,1850000,,,,,,,
"RAM PC AGI 8GB DDR5 | (1x8GB), 5600MHz, Intel/AMD AGI560A08UD238-ST",RAM,,2699000,8GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC AGI 8GB DDR5 | (1x8GB), 5600MHz, Intel/AMD AGI560A08UD238-ST",DDR5,8GB,2699000,,,,,,,
"RAM PC AGI UD138 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD AGI320A16UD138-ST",RAM,,2850000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC AGI UD138 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD AGI320A16UD138-ST",DDR4,16GB,2850000,,,,,,,
"RAM PC AOSENKE 8GB DDR3 | (1x8GB), 1600MHz, Intel/AMD",RAM,,699000,8GB 1600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC AOSENKE 8GB DDR3 | (1x8GB), 1600MHz, Intel/AMD",DDR3,8GB,699000,,,,,,,
"RAM PC Apacer NOX 16GB DDR5 Black | (1x16GB), 5200MHz, Intel/AMD AH5U16G52C522MBAA-1",RAM,,5299000,16GB 5200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Apacer NOX 16GB DDR5 Black | (1x16GB), 5200MHz, Intel/AMD AH5U16G52C522MBAA-1",DDR5,16GB,5299000,,,,,,,
"RAM PC Apacer Panther 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD",RAM,,3090000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Apacer Panther 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD",DDR4,16GB,3090000,,,,,,,
"RAM PC Colorful Battle AX 16GB DDR5 Black | (1x16GB), 6000MHz, Intel/AMD",RAM,,6299000,16GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Colorful Battle AX 16GB DDR5 Black | (1x16GB), 6000MHz, Intel/AMD",DDR5,16GB,6299000,,,,,,,
"RAM PC Corsair Dominator Platinum 32GB RGB DDR5 | (2x16GB), 5200MHz, Intel/AMD CMT32GX5M2B5200C40",RAM,,9999000,32GB 5200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Dominator Platinum 32GB RGB DDR5 | (2x16GB), 5200MHz, Intel/AMD CMT32GX5M2B5200C40",DDR5,32GB,9999000,,,,,,,
"RAM PC Corsair Dominator Platinum 64GB RGB DDR5 White | (2x32GB), 5600MHz, Intel/AMD CMT64GX5M2B5600C40W",RAM,,22999000,64GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Dominator Platinum 64GB RGB DDR5 White | (2x32GB), 5600MHz, Intel/AMD CMT64GX5M2B5600C40W",DDR5,64GB,22999000,,,,,,,
"RAM PC Corsair Vengeance 16GB DDR5 Black | (1x16GB), 5200MHz, Intel/AMD CMK16GX5M1B5200C40",RAM,,5599000,16GB 5200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 16GB DDR5 Black | (1x16GB), 5200MHz, Intel/AMD CMK16GX5M1B5200C40",DDR5,16GB,5599000,,,,,,,
"RAM PC Corsair Vengeance 16GB DDR5 Black | (1x16GB), 5600MHz, Intel/AMD CMK16GX5M1B5600C40",RAM,,5799000,16GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 16GB DDR5 Black | (1x16GB), 5600MHz, Intel/AMD CMK16GX5M1B5600C40",DDR5,16GB,5799000,,,,,,,
"RAM PC Corsair Vengeance 16GB RGB DDR4 | (2x8GB), 3200MHz, Intel/AMD CMG16GX4M2E3200C16",RAM,,3590000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 16GB RGB DDR4 | (2x8GB), 3200MHz, Intel/AMD CMG16GX4M2E3200C16",DDR4,16GB,3590000,,,,,,,
"RAM PC Corsair Vengeance 16GB RGB DDR5 Black | (1x16GB), 6000MHz, Intel/AMD CMH16GX5M1E6000Z36",RAM,,5999000,16GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 16GB RGB DDR5 Black | (1x16GB), 6000MHz, Intel/AMD CMH16GX5M1E6000Z36",DDR5,16GB,5999000,,,,,,,
"RAM PC Corsair Vengeance 32GB DDR5 | (1x32GB), 6000MHz, Intel/AMD CMK5X32G2B60C38A2",RAM,,9599000,32GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB DDR5 | (1x32GB), 6000MHz, Intel/AMD CMK5X32G2B60C38A2",DDR5,32GB,9599000,,,,,,,
"RAM PC Corsair Vengeance 32GB RGB DDR4 Black | (2x16GB), 3200MHz, Intel/AMD CMW32GX4M2E3200C16",RAM,,9199000,32GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB RGB DDR4 Black | (2x16GB), 3200MHz, Intel/AMD CMW32GX4M2E3200C16",DDR4,32GB,9199000,,,,,,,
"RAM PC Corsair Vengeance 32GB RGB DDR4 | (2x16GB), 3200MHz, Intel/AMD CMG32GX4M2E3200C16",RAM,,7999000,32GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB RGB DDR4 | (2x16GB), 3200MHz, Intel/AMD CMG32GX4M2E3200C16",DDR4,32GB,7999000,,,,,,,
"RAM PC Corsair Vengeance 32GB RGB DDR4 | (2x16GB), 3600MHz, Intel/AMD CMG32GX4M2D3600C18",RAM,,6811000,32GB 3600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB RGB DDR4 | (2x16GB), 3600MHz, Intel/AMD CMG32GX4M2D3600C18",DDR4,32GB,6811000,,,,,,,
"RAM PC Corsair Vengeance 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD CMH32GX5M2B5200C40",RAM,,9999000,32GB 5200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD CMH32GX5M2B5200C40",DDR5,32GB,9999000,,,,,,,
"RAM PC Corsair Vengeance 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD CMH32GX5M2E6000C36",RAM,,12111000,32GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD CMH32GX5M2E6000C36",DDR5,32GB,12111000,,,,,,,
"RAM PC Corsair Vengeance 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD CMH32GX5M2E6000C36W",RAM,,12511000,32GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 32GB RGB DDR5 | (2x16GB), 6000MHz, Intel/AMD CMH32GX5M2E6000C36W",DDR5,32GB,12511000,,,,,,,
"RAM PC Corsair Vengeance 64GB RGB DDR4 | (2x32GB), 3600MHz, Intel/AMD CMG64GX4M2D3600C18",RAM,,12111000,64GB 3600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 64GB RGB DDR4 | (2x32GB), 3600MHz, Intel/AMD CMG64GX4M2D3600C18",DDR4,64GB,12111000,,,,,,,
"RAM PC Corsair Vengeance 64GB RGB DDR5 | (2x32GB), 6000MHz, Intel/AMD CMH64GX5M2D6000C40",RAM,,22999000,64GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 64GB RGB DDR5 | (2x32GB), 6000MHz, Intel/AMD CMH64GX5M2D6000C40",DDR5,64GB,22999000,,,,,,,
"RAM PC Corsair Vengeance 8GB RGB DDR4 | (1x8GB), 3200MHz, Intel/AMD CMG8GX4M1E3200C16",RAM,,2190000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 8GB RGB DDR4 | (1x8GB), 3200MHz, Intel/AMD CMG8GX4M1E3200C16",DDR4,8GB,2190000,,,,,,,
"RAM PC Corsair Vengeance 96GB RGB DDR5 | (2x48GB), 6000MHz, Intel/AMD CMH96GX5M2E6000C36",RAM,,31999000,96GB 6000MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance 96GB RGB DDR5 | (2x48GB), 6000MHz, Intel/AMD CMH96GX5M2E6000C36",DDR5,96GB,31999000,,,,,,,
"RAM PC Corsair Vengeance LPX 16GB DDR4 Black | (1x16GB), 3200MHz, Intel/AMD CMK16GX4M1E3200C16",RAM,,3290000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance LPX 16GB DDR4 Black | (1x16GB), 3200MHz, Intel/AMD CMK16GX4M1E3200C16",DDR4,16GB,3290000,,,,,,,
"RAM PC Corsair Vengeance LPX 32GB DDR4 | (1x32GB), 3600MHz, Intel/AMD",RAM,,5999000,32GB 3600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance LPX 32GB DDR4 | (1x32GB), 3600MHz, Intel/AMD",DDR4,32GB,5999000,,,,,,,
"RAM PC Corsair Vengeance LPX 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD CMK8GX4M1E3200C16",RAM,,1950000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC Corsair Vengeance LPX 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD CMK8GX4M1E3200C16",DDR4,8GB,1950000,,,,,,,
"RAM PC G.SKILL Aegis 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD F4-3200C16S-16GIS",RAM,,3590000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC G.SKILL Aegis 16GB DDR4 | (1x16GB), 3200MHz, Intel/AMD F4-3200C16S-16GIS",DDR4,16GB,3590000,,,,,,,
"RAM PC G.SKILL Aegis 16GB DDR5 | (1x16GB), 5200MHz, Intel/AMD",RAM,,5299000,16GB 5200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC G.SKILL Aegis 16GB DDR5 | (1x16GB), 5200MHz, Intel/AMD",DDR5,16GB,5299000,,,,,,,
"RAM PC G.SKILL Aegis 8GB DDR3 | (1x8GB), 1600MHz, Intel/AMD F3-1600C11S-8GIS",RAM,,999000,8GB 1600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC G.SKILL Aegis 8GB DDR3 | (1x8GB), 1600MHz, Intel/AMD F3-1600C11S-8GIS",DDR3,8GB,999000,,,,,,,
"RAM PC G.SKILL Aegis 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD F4-3200C16S-8GIS",RAM,,1950000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC G.SKILL Aegis 8GB DDR4 | (1x8GB), 3200MHz, Intel/AMD F4-3200C16S-8GIS",DDR4,8GB,1950000,,,,,,,
"RAM PC G.SKILL Ripjaws M5 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD F5-5200J4040A16GX2-RM5RK",RAM,,9999000,32GB 5200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM PC G.SKILL Ripjaws M5 32GB RGB DDR5 Black | (2x16GB), 5200MHz, Intel/AMD F5-5200J4040A16GX2-RM5RK",DDR5,32GB,9999000,,,,,,,
