ten_mainboard,hang,thong_so,gia_vnd,link_hinh_anh,category
Mainboard Asus A520M-K Prime,ASUS,Mainboard Asus A520M-K Prime,1390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS A68HM-K DDR3 | FM2+, ATX, 2 khe RAM",ASUS,"Mainboard ASUS A68HM-K DDR3 | FM2+, ATX, 2 khe RAM",1190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS B760M AYW Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",ASUS,"Mainboard ASUS B760M AYW Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",3099000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS B860M-A Wifi DDR5 | LGA 1851, mATX, 4 khe RAM",ASUS,"Mainboard ASUS B860M-A Wifi DDR5 | LGA 1851, mATX, 4 khe RAM",3750000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS B860M-K CSM DDR5 | LGA 1851, mATX, 2 khe RAM",ASUS,"Mainboard ASUS B860M-K CSM DDR5 | LGA 1851, mATX, 2 khe RAM",2699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS EX-B760M-V5 DDR5 | LGA 1700, mATX, 2 khe RAM",ASUS,"Mainboard ASUS EX-B760M-V5 DDR5 | LGA 1700, mATX, 2 khe RAM",2350000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS H110M-K DDR4 | LGA 1151, mATX, 2 khe RAM",ASUS,"Mainboard ASUS H110M-K DDR4 | LGA 1151, mATX, 2 khe RAM",1390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS H610M-K DDR5 | LGA 1700, mATX, 2 khe RAM",ASUS,"Mainboard ASUS H610M-K DDR5 | LGA 1700, mATX, 2 khe RAM",1880000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime A620M-E DDR5 | AM5, mATX, 2 khe RAM",ASUS,"Mainboard ASUS Prime A620M-E DDR5 | AM5, mATX, 2 khe RAM",2090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B450M-A II DDR4 | AM4, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B450M-A II DDR4 | AM4, mATX, 4 khe RAM",1590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B550M-A DDR4 | AM4, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B550M-A DDR4 | AM4, mATX, 4 khe RAM",2289000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASUS Prime B650M-A II DDR5 | AM5, mATX, 4 khe RAM",ASUS,"Mainboard ASUS Prime B650M-A II DDR5 | AM5, mATX, 4 khe RAM",3190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
