ten_ssd,hang,thong_so,gia_vnd,link_hinh_anh,category
"Ổ cứng SSD Kioxia Exceria Plus G3 1TB | PCIe Gen4 x4 NVMe, M.2 2280",Unknown,"Ổ cứng SSD Kioxia Exceria Plus G3 1TB | PCIe Gen4 x4 NVMe, M.2 2280",3890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kioxia Exceria Plus G3 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (LSD10Z002TG8)",Unknown,"Ổ cứng SSD Kioxia Exceria Plus G3 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (LSD10Z002TG8)",5490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kioxia Exceria Plus G4 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (LVD10Z001TG8)",Unknown,"Ổ cứng SSD Kioxia Exceria Plus G4 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (LVD10Z001TG8)",4990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Kioxia Exceria Plus G4 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (LVD10Z002TG8)",Unknown,"Ổ cứng SSD Kioxia Exceria Plus G4 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (LVD10Z002TG8)",8590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Lexar NM610 250GB | PCIe Gen3 x4 NVMe, M.2 2280",Lexar,"Ổ cứng SSD Lexar NM610 250GB | PCIe Gen3 x4 NVMe, M.2 2280",1290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Lexar NM610 Pro 500GB | PCIe Gen3 x4 NVMe, M.2 2280 (LNM610P500G-RNNNG)",Lexar,"Ổ cứng SSD Lexar NM610 Pro 500GB | PCIe Gen3 x4 NVMe, M.2 2280 (LNM610P500G-RNNNG)",2550000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P210 1TB | SATA III, 2.5"" (P210S1TB25)",Patriot,"Ổ cứng SSD Patriot P210 1TB | SATA III, 2.5"" (P210S1TB25)",2890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P210 256GB | SATA III, 2.5"" (P210S256G25)",Patriot,"Ổ cứng SSD Patriot P210 256GB | SATA III, 2.5"" (P210S256G25)",1050000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P210 2TB | SATA III, 2.5"" (P210S2TB25)",Patriot,"Ổ cứng SSD Patriot P210 2TB | SATA III, 2.5"" (P210S2TB25)",6190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P210 512GB | SATA III, 2.5""",Patriot,"Ổ cứng SSD Patriot P210 512GB | SATA III, 2.5""",1490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P300 256GB | PCIe Gen3 x4 NVMe, M.2 2280 (P300P256GM28)",Patriot,"Ổ cứng SSD Patriot P300 256GB | PCIe Gen3 x4 NVMe, M.2 2280 (P300P256GM28)",1290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P300 512GB | PCIe Gen3 x4 NVMe, M.2 2280 (P300P512GM28)",Patriot,"Ổ cứng SSD Patriot P300 512GB | PCIe Gen3 x4 NVMe, M.2 2280 (P300P512GM28)",2150000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Patriot P400 Lite 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (P400LP1KGM28H)",Patriot,"Ổ cứng SSD Patriot P400 Lite 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (P400LP1KGM28H)",3590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD PNY CS900 500GB | SATA III, 2.5"" (SSD7CS900-500-RB)",PNY,"Ổ cứng SSD PNY CS900 500GB | SATA III, 2.5"" (SSD7CS900-500-RB)",1690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 870 EVO (CT) 1TB | SATA III, 2.5"" (MZ-77E1T0BW)",Samsung,"Ổ cứng SSD Samsung 870 EVO (CT) 1TB | SATA III, 2.5"" (MZ-77E1T0BW)",3190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 870 EVO 1TB | SATA III, 2.5"" (MZ-77E1T0BW)",Samsung,"Ổ cứng SSD Samsung 870 EVO 1TB | SATA III, 2.5"" (MZ-77E1T0BW)",4390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 870 EVO 500GB | SATA III, 2.5"" (MZ-77E500BW)",Samsung,"Ổ cứng SSD Samsung 870 EVO 500GB | SATA III, 2.5"" (MZ-77E500BW)",3750000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 9100 PRO 1TB | PCIe Gen5 x4 NVMe, M.2 2280 (MZ-VAP1T0BW)",Samsung,"Ổ cứng SSD Samsung 9100 PRO 1TB | PCIe Gen5 x4 NVMe, M.2 2280 (MZ-VAP1T0BW)",6690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 980 500GB | PCIe Gen3 x4 NVMe, M.2 2280 (MZ-V8V500BW)",Samsung,"Ổ cứng SSD Samsung 980 500GB | PCIe Gen3 x4 NVMe, M.2 2280 (MZ-V8V500BW)",3750000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 990 EVO Plus 1TB | PCIe Gen4 x4 NVMe, M.2 2280",Samsung,"Ổ cứng SSD Samsung 990 EVO Plus 1TB | PCIe Gen4 x4 NVMe, M.2 2280",5190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 990 EVO Plus 2TB | PCIe Gen4 x4 NVMe, M.2 2280",Samsung,"Ổ cứng SSD Samsung 990 EVO Plus 2TB | PCIe Gen4 x4 NVMe, M.2 2280",9990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 990 PRO 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (MZ-V9P1T0BW)",Samsung,"Ổ cứng SSD Samsung 990 PRO 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (MZ-V9P1T0BW)",6590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Samsung 990 PRO 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (MZ-V9P2T0BW)",Samsung,"Ổ cứng SSD Samsung 990 PRO 2TB | PCIe Gen4 x4 NVMe, M.2 2280 (MZ-V9P2T0BW)",9990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD SSTC M110 512GB | SATA III, 2.5"" (MS-M110-512T)",Unknown,"Ổ cứng SSD SSTC M110 512GB | SATA III, 2.5"" (MS-M110-512T)",1790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD SSTC M110 Megamouth 256GB | SATA III, 2.5"" (MS-M110-256Q)",Unknown,"Ổ cứng SSD SSTC M110 Megamouth 256GB | SATA III, 2.5"" (MS-M110-256Q)",1190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD TeamGroup CX2 256GB | SATA III, 2.5""",Team,"Ổ cứng SSD TeamGroup CX2 256GB | SATA III, 2.5""",1190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD TeamGroup GX1 480GB | SATA III, 2.5"" (T253X1480G0C101)",Team,"Ổ cứng SSD TeamGroup GX1 480GB | SATA III, 2.5"" (T253X1480G0C101)",1090000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD TeamGroup T-Force Delta Max 500GB | SATA III, 2.5"" (T253TM500G3C302)",Team,"Ổ cứng SSD TeamGroup T-Force Delta Max 500GB | SATA III, 2.5"" (T253TM500G3C302)",2200000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Verico Hawk 128GB | PCIe Gen3 x2 NVMe, M.2 2280 (1SSOH-SSMBC3-NN)",Unknown,"Ổ cứng SSD Verico Hawk 128GB | PCIe Gen3 x2 NVMe, M.2 2280 (1SSOH-SSMBC3-NN)",190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Western Digital Black SN7100 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS100T4X0E-00CJA0)",WD,"Ổ cứng SSD Western Digital Black SN7100 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS100T4X0E-00CJA0)",4890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Western Digital Blue SA510 1TB | SATA III, 2.5"" (WDS100T3B0A)",WD,"Ổ cứng SSD Western Digital Blue SA510 1TB | SATA III, 2.5"" (WDS100T3B0A)",3990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Western Digital Blue SA510 500GB | SATA III, 2.5"" (WDS500G3B0A)",WD,"Ổ cứng SSD Western Digital Blue SA510 500GB | SATA III, 2.5"" (WDS500G3B0A)",2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Western Digital Blue SN5000 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS100T4B0E)",WD,"Ổ cứng SSD Western Digital Blue SN5000 1TB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS100T4B0E)",4250000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Western Digital Blue SN5000 4TB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS400T4B0E)",WD,"Ổ cứng SSD Western Digital Blue SN5000 4TB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS400T4B0E)",16990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
"Ổ cứng SSD Western Digital Blue SN5000 500GB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS500G4B0E)",WD,"Ổ cứng SSD Western Digital Blue SN5000 500GB | PCIe Gen4 x4 NVMe, M.2 2280 (WDS500G4B0E)",2790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
SSD Samsung 1TB 970 Evo Plus M2 2280 (MZ-V7S1T0BW),Samsung,SSD Samsung 1TB 970 Evo Plus M2 2280 (MZ-V7S1T0BW),4490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,SSD
