ten_cpu,hang,thong_so,gia_vnd,link_hinh_anh,category
"CPU AMD Ryzen Threadripper PRO 9975WX | sTR5, 32 nhân/64 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 9975WX | sTR5, 32 nhân/64 luồng, Max 5.4 GHz",119900000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen Threadripper PRO 9995WX | sTR5, 96 nhân/192 luồng, Max 5.4 GHz",AMD,"CPU AMD Ryzen Threadripper PRO 9995WX | sTR5, 96 nhân/192 luồng, Max 5.4 GHz",350000000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen™ 7 9850X3D Box Chính Hãng | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-100001973WOF)",AMD,"CPU AMD Ryzen™ 7 9850X3D Box Chính Hãng | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-100001973WOF)",15190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD Ryzen™ 7 9850X3D Tray-Nobox | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-000001973)",AMD,"CPU AMD Ryzen™ 7 9850X3D Tray-Nobox | AM5, 8 nhân / 16 luồng, Max Boost 5.6 GHz (100-000001973)",13950000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU AMD X4 840 FM2 Tray - Nobox | FM2, 4 nhân/4 luồng, Max 3.8 GHz",AMD,"CPU AMD X4 840 FM2 Tray - Nobox | FM2, 4 nhân/4 luồng, Max 3.8 GHz",310000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 10105 Tray VAT | LGA 1200, 4 nhân/8 luồng, Max 4.4 GHz",Intel,"CPU Intel Core i3 10105 Tray VAT | LGA 1200, 4 nhân/8 luồng, Max 4.4 GHz",2690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100 Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100 Tray VAT | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",3290000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100 | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100 | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",4190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",1990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",Intel,"CPU Intel Core i3 12100F Tray - Nobox | LGA 1700, 4 nhân/8 luồng, Max 4.3 GHz",2190000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,CPU
