ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
"Thùng máy Case Leopard AC-01 Hồ Cá Kính Cong | Không kèm fan, trắng",Unknown,"Thùng máy Case Leopard AC-01 Hồ Cá Kính Cong | Không kèm fan, trắng",1089000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Leopard AC-02 | Đen, kính cong, LCD",Unknown,"Thùng máy Case Leopard AC-02 | Đen, kính cong, LCD",1779000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Leopard AC-02 | Trắng, kính cong, LCD",Unknown,"Thùng máy Case Leopard AC-02 | Trắng, kính cong, LCD",1799000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Leopard AS-01 Hồ Cá - Đen | Không kèm fan,Unknown,Thùng máy Case Leopard AS-01 Hồ Cá - Đen | Không kèm fan,999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Leopard AS-01 Hồ Cá - Trắng | Không kèm fan,Unknown,Thùng máy Case Leopard AS-01 Hồ Cá - Trắng | Không kèm fan,999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Leopard MS-01 RGB | Đen, không kèm fan",Unknown,"Thùng máy Case Leopard MS-01 RGB | Đen, không kèm fan",749000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Leopard MS-01 RGB | Trắng, không kèm fan",Unknown,"Thùng máy Case Leopard MS-01 RGB | Trắng, không kèm fan",759000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Lian Li Vector V100 Mini (V100MIX) | Mini Tower, Không kèm fan, Đen",Lian Li,"Thùng máy Case Lian Li Vector V100 Mini (V100MIX) | Mini Tower, Không kèm fan, Đen",1199000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Lian Li Vector V100R Mini (V100MIX) | Mini Tower, Kèm 4 fan ARGB, Đen",Lian Li,"Thùng máy Case Lian Li Vector V100R Mini (V100MIX) | Mini Tower, Kèm 4 fan ARGB, Đen",1699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Magic C218-M M-ATX - Đen,Unknown,Thùng máy Case Magic C218-M M-ATX - Đen,599000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Magic GA-02 ATX - Đen,Unknown,Thùng máy Case Magic GA-02 ATX - Đen,419000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
